person,major_lawsuit_order,major_lawsuit_claim,major_lawsuit_source_url
alexander_karp,1,"Palantir DOL discrimination lawsuit (2016), settled 2017 for $1.7M",https://www.dol.gov/newsroom/releases/ofccp/ofccp20170425
alice_walton,1,Fatal car accident (1989); 1998 DWI conviction; 2011 DWI arrest,https://www.nytimes.com/2012/12/01/business/walmart-heiress-quietly-settles-fatal-2011-accident-case.html
andrew_cherng,1,2021 sexual harassment/battery lawsuit by former employee,https://www.restaurantbusinessonline.com/workforce/panda-express-co-founder-peggy-cherng-facing-sexual-harassment-lawsuit
aneel_bhusri,1,PeopleSoft hostile takeover litigation (company-level),https://www.nytimes.com/2004/12/13/business/oracle-buys-peoplesoft-in-deal-valued-at-10.3-billion.html
anthony_pritzker,1,Pritzker family trust disputes (1990s-2000s),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/
arnold_schwarzenegger,1,"Groping allegations (2003, 15 women came forward) and paternity scandal (2011)",https://www.voanews.com/a/a-13-a-2003-10-03-19-california-67443037/279015.html
avram_glazer,1,Fan protests and shareholder discontent over Manchester United ownership,https://www.bbc.com/sport/football/56927498
bert_beveridge,1,Tito's 'Handmade' labeling lawsuits (8+ class actions filed; cases dropped/dismissed),https://www.thespiritsbusiness.com/2014/10/titos-vodka-faces-another-handmade-lawsuit/
bharat_desai,1,Atos SE lawsuit over hidden liabilities in $3.4B Syntel acquisition; dismissed 2023,https://news.bloomberglaw.com/esg/bharat-desai-must-face-3-4-billion-deal-suit-by-frances-atos
bill_gates,1,US v. Microsoft antitrust (1998-2001); Epstein association controversy,https://law.justia.com/cases/federal/appellate-courts/F3/253/34/576095/
bill_gross,1,Sued PIMCO 2015; settled March 2017 for $81M,https://www.cnbc.com/2017/03/27/bill-gross-settles-lawsuit-against-pimco-for-81-million-sources.html
bill_haslam,1,Pilot Flying J fraud scandal ($92M penalties; employees convicted); Bill not personally charged,https://www.justice.gov/usao-edtn/pr/pilot-flying-j-agrees-pay-92-million-penalty
bob_parsons,1,Elephant hunting video controversy (2011),https://www.washingtonpost.com/blogs/faster-forward/post/godaddycom-ceo-faces-backlash-for-elephant-shooting/2011/03/31/AFTwBRBC_blog.html
bobby_murphy,1,Reggie Brown co-founder lawsuit settled 2014 for $157.5M,https://techcrunch.com/2014/09/09/snapchat-finally-settles-lawsuit-with-ousted-co-founder-reggie-brown/
brian_armstrong,1,"SEC lawsuit filed June 2023, dropped Feb 2025",https://www.sec.gov/newsroom/press-releases/2025-47
brian_chesky,1,City regulatory disputes over Airbnb short-term rentals (company-level),https://skift.com/2023/10/04/airbnb-ceo-brian-chesky-cleaning-fees-legal-battles-and-ai-full-video/
cameron_winklevoss,1,$65M Facebook settlement; Gemini Earn SEC/AG cases,https://www.sec.gov/newsroom/press-releases/2020-338
carl_icahn,1,Hindenburg report; SEC charges for disclosure violations (margin loans); stock drop,https://www.cnbc.com/2024/08/19/sec-charges-carl-icahn-with-hiding-billions-worth-of-stock-pledges.html
chad_richison,1,Record compensation ($211M+) drew shareholder criticism,https://www.wsj.com/articles/paycom-ceo-chad-richisons-pay-package-draws-investor-ire
charles_ergen,1,TiVo patent lawsuit ($500M settlement 2011),https://www.reuters.com/article/us-tivo-ergen-echostar/echostar-tivo-settle-patent-dispute-for-500-million-idUSBRE8440AZ20120505
charles_koch,1,Koch v Koch Industries (settled 2001); EPA $35M fine (2000); $296M private wrongful-death verdict,https://www.epa.gov/enforcement/case-summary-koch-industries-inc-and-subsidiaries
charles_liang,1,"SEC charges (2020), $17.5M settlement; DOJ investigation",https://www.sec.gov/newsroom/press-releases/2020-190
charles_schwab,1,"YieldPlus fund lawsuits (2008), $235M settlement for ~250,000 investors",https://www.hbsslaw.com/cases/schwab-yieldplus-funds
chris_larsen,1,SEC sued Ripple Dec 2020; $50M penalty,https://www.sec.gov/newsroom/press-releases/2020-338
dan_snyder,1,$60M personal NFL fine after Mary Jo White investigation; sold Commanders 2023 for $6.05B,https://www.nfl.com/news/former-commanders-owner-dan-snyder-to-pay-nfl-60m-following-mary-jo-white-invest
daniel_gilbert,1,Quicken Loans $32.5M DOJ settlement + $3.3M CFPB fine,https://www.detroitnews.com/story/business/2019/06/14/judge-tosses-quicken-loans-justice-department-suit/1454923001/
daniel_och,1,Och-Ziff $213M DOJ + $200M SEC (~$413M total) for Africa bribery conspiracies,https://www.justice.gov/archives/opa/pr/och-ziff-capital-management-admits-role-africa-bribery-conspiracies-and-agrees-pay-213
david_baszucki,1,Child safety concerns and gambling-like Robux mechanics; state AG lawsuits,https://www.texasattorneygeneral.gov/sites/default/files/images/press/Petition_0.pdf
david_bonderman,1,Resigned Uber board June 2017 after sexist remark at company meeting,https://www.washingtonpost.com/news/the-switch/wp/2017/06/13/a-top-uber-board-member-just-cracked-a-joke-about-women-at-the-worst-possible-time/
david_einhorn,1,Allied Capital dispute; Punch Taverns FSA insider trading fine (~$11.6M),https://www.fca.org.uk/news/press-releases/david-einhorn-greenlight-capital-inc-fined-market-abuse
david_geffen,1,Target of Anthony Pellicano wiretapping surveillance (at Michael Ovitz's request),https://www.justice.gov/archive/usao/cac/Pressroom/pr2008/123.html
david_green,1,Burwell v. Hobby Lobby (2014 SCOTUS); $3M artifact smuggling fine (2017); Gilgamesh Tablet forfeiture,https://www.justice.gov/archives/opa/pr/hobby-lobby-agrees-forfeit-5500-artifacts-and-pay-3-million-penalty
david_hindawi,1,Tanium workplace culture issues (primarily involving son Orion as CEO),https://www.bloomberg.com/news/articles/2017-04-13/tanium-s-family-empire-is-in-crisis
david_humphreys,1,Multiple TAMKO shingle class action lawsuits,https://www.classaction.org/tamko-roofing-shingles-lawsuit
david_lichtenstein,1,"Extended Stay Hotels Chapter 11 bankruptcy June 2009, $7.4B debt",https://petergreenberg.com/2009/06/15/extended-stay-hotels-files-for-bankruptcy/
denise_debartolo_york,1,Brother Edward's 1998 guilty plea (Louisiana governor bribery) led to 49ers transfer to Denise in 2000,https://www.washingtonpost.com/archive/sports/1998/10/07/debartolo-pleads-guilty-owes-1-million/a8243605-9b2a-4cd2-a302-60b88df4bc67/
dennis_washington,1,Montana Resources/Berkeley Pit Superfund involvement,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.Healthenv&id=0902959
don_ahern,1,Snorkel/Tanfield ownership dispute + legal proceedings in Nevada,https://vertikal.net/en/news/story/34005/ahern-tanfield-dispute-goes-legal
don_levin,1,Republic Brands tobacco industry legal involvement,https://www.cspdailynews.com/tobacco/republic-tobacco-reports-successful-legal-battles
don_vultaggio,1,"8-year dispute with co-founder Ferolito; settled 2015, ~$1B buyout",https://www.bevnet.com/news/2015/arizona-iced-tea-co-founders-settle-longstanding-dispute/
donald_bren,1,Paternity lawsuit (Jennifer McKay Gold),https://abcnews.go.com/GMA/billionaire-donald-bren-broke-promises-children-girlfriend/story?id=11512338
donald_sterling,1,$2B forced sale to Ballmer; $2.725M DOJ housing discrimination settlement; lifetime NBA ban,https://www.justice.gov/archives/opa/pr/justice-department-obtains-record-2725-million-settlement-housing-discrimination-lawsuit
donald_trump,1,E. Jean Carroll defamation ($83.3M); NY AG fraud (~$454M); 34-count felony conviction (2024); 2 impeachments; 4 indictments,https://manhattanda.org/d-a-bragg-announces-34-count-felony-trial-conviction-of-donald-j-trump/
dwight_schar,1,Minority owner dispute with Dan Snyder; sold ~40.5% stake for $875M,https://www.washingtonpost.com/sports/2020/12/19/dan-snyder-minority-owners-feud/
edward_bass,1,1994 Biosphere 2 management dispute with federal marshals and lawsuits,https://www.chicagotribune.com/1994/04/16/biosphere-2-proves-a-hothouse-for-trouble/
edward_debartolo_jr,1,1998 guilty plea re Louisiana governor Edwards bribery; pardoned February 2020,https://www.pbs.org/newshour/nation/trump-pardons-edward-debartolo-jr-ex-49ers-owner
elaine_marshall,1,"Marshall v. Marshall (547 U.S. 293, 2006) Supreme Court case re Anna Nicole Smith estate",https://supreme.justia.com/cases/federal/us/547/293/
elon_musk,1,Tornetta v. Musk (reinstated Dec 2025); SolarCity shareholder suit (won 2022); Twitter acquisition litigation (settled); SEC suit; Unsworth defamation (won 2019),https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26219
eric_lefkofsky,1,SEC preliminary investigation into Groupon (2012); no personal charges,https://business.time.com/2012/04/05/groupon-faces-sec-probe-investor-lawsuit-as-stock-hits-new-low/
eric_smidt,1,Parents Allan and Dorothy Smidt sued son Eric in 2010 for looting Harbor Freight; settled,https://www.sandiegouniontribune.com/2010/07/21/founder-of-harbor-freight-tools-sues-ceo-son/
ernest_garcia_ii,1,Lincoln S&L guilty plea (1990),https://www.upi.com/Archives/1990/10/30/Lincoln-case-figure-convicted-of-bank-fraud/4477657262800/
evan_spiegel,1,Reggie Brown co-founder lawsuit settled 2014 for $157.5M,https://techcrunch.com/2017/02/02/snapchat-reggie-brown/
forrest_preston,1,Life Care Centers $145M False Claims Act settlement,https://www.justice.gov/archives/opa/pr/life-care-centers-america-inc-agrees-pay-145-million-resolve-false-claims-act-allegations
frank_mccourt,1,Dodgers bankruptcy 2011,https://www.deb.uscourts.gov/sites/deb/files/opinions/kg2011121511-12010_0.pdf
frank_vandersloot,1,Mother Jones defamation lawsuit,https://globalfreedomofexpression.columbia.edu/cases/vandersloot-v-mother-jones/
gary_michelson,1,$1.35B Medtronic patent settlement (2005),https://www.washingtonpost.com/archive/business/2005/04/23/medtronic-settles-over-patents/05b012d8-58c3-401e-ba84-6fe40246835f/
gary_rollins,1,Lawsuit by grandchildren over Rollins fortune; 2019 settlement,https://www.ajc.com/news/local/settlement-reached-heated-family-dispute-over-rollins-fortune/4uIwsGoyBXxckDAXASgC2K/
gayle_benson,1,Mental competency challenge by estranged heirs; Feb 2017 settlement,https://www.espn.com/nfl/story/_/id/18614839/tom-benson-new-orleans-saints-pelicans-reaches-settlement-estranged-heirs
geoffrey_palmer,1,Da Vinci apartment arson fire (526 units); arsonist pleaded no contest,https://lafd.org/news/lafd-and-atf-determine-da-vinci-apartment-complex-fire-cause-arson
george_kaiser,1,"Solyndra controversy ($340M investment, $535M loan guarantee, Sept 2011 bankruptcy)",https://capitalresearch.org/article/the-solyndra-scandal-charity-tax-loopholes-and-billionaire-george-kaiser/
george_kurtz,1,"CrowdStrike outage (8.5M devices, $5.4B losses, Delta $500M+ lawsuit)",https://www.cnn.com/2024/10/25/business/delta-sues-crowdstrike/index.html
george_roberts,1,RJR Nabisco LBO litigation,https://law.justia.com/cases/delaware/court-of-chancery/1990/576-a-2d-654-4.html
george_soros,1,"2002 French insider trading conviction (Societe Generale), upheld by ECHR 2011",https://www.washingtonpost.com/archive/politics/2002/12/21/soros-found-guilty-of-insider-trading/8f6b6fc6-6184-4740-a359-e51398d178ff/
glenn_dubin,1,Epstein association controversy,https://www.thecrimson.com/article/2019/8/18/dubin-epstein-unsealed-docs/
gordon_getty,1,Pennzoil v. Texaco and paternity disputes,https://ir.law.utk.edu/cgi/viewcontent.cgi?article=1073&context=transactions
harold_hamm,1,"Continental Resources 937 spills, 1.6M gallons (2006-2014)",https://www.desmog.com/harold-hamm/
henry_laufer,1,Renaissance Technologies IRS basket options dispute,https://www.govinfo.gov/content/pkg/CHRG-113shrg89882/html/CHRG-113shrg89882.htm
henry_nicholas_iii,1,2008 drug-related indictment (dismissed); 2018 Vegas arrest; 2019 Alford plea,https://www.justice.gov/archive/usao/cac/Pressroom/pr2008/078.html
henry_samueli,1,Broadcom stock options backdating; SEC charges dropped,https://www.sec.gov/news/press/2008/2008-63.htm
howard_lutnick,1,Cantor Fitzgerald partner lawsuits and eSpeed litigation,https://www.lw.com/en/news/2022/08/latham-helps-cantor-fitzgerald-and-howard-lutnick-defeat-us$400-million-lawsuit
igor_olenicoff,1,2007 guilty plea; $52M penalty; ~$240M hidden in Swiss accounts,https://www.bloomberg.com/news/articles/2012-04-09/ubs-faces-billionaire-olenicoff-in-lawsuit-over-his-tax-felony
ira_rennert,1,Mansion funded by diverted company assets; $213.2M judgment; environmental violations,https://www.27east.com/residence/home-garden/article_e3193061-2b07-537d-9530-584ed69dbae5.html
israel_englander,1,$180M SEC/NY AG settlement for mutual fund timing fraud,https://www.sec.gov/news/press/2005-170.htm
jack_dorsey,1,"Named in Twitter shareholder class action (settled $809.5M, 2021); subpoenaed in Twitter v. Musk",https://variety.com/2021/digital/news/twitter-investor-lawsuit-settlement-payment-jack-dorsey-1235068982/
jacqueline_mars,1,2013 fatal car accident; reckless driving conviction,https://www.washingtonpost.com/local/mars-company-co-owner-convicted-of-reckless-driving-in-fatal-loudoun-county-crash/2013/12/05/fdf43c90-5d03-11e3-bc56-c6ca94801fac_story.html
james_irsay,1,2014 DUI arrest; 6-game NFL suspension + $500K fine,https://www.nfl.com/news/colts-jim-irsay-suspended-six-games-fined-500k-0ap3000000387267
jamie_dimon,1,London Whale oversight; JPMorgan paid $920M in fines,https://www.sec.gov/news/press-release/2013-187
jay_robert_pritzker,1,Toilet removal property tax controversy (2018),https://www.chicagotribune.com/2019/10/23/inspector-general-finds-pritzker-toilet-scheme-resulted-in-favorable-tax-treatment/
jayshree_ullal,1,Cisco sued Arista for patent infringement; $400M settlement,https://www.reuters.com/article/us-cisco-arista-networks/cisco-arista-reach-400-million-patent-settlement-idUSKBN1AH3Z0
jed_mccaleb,1,Major record companies sued eDonkey2000 for copyright infringement; $30M settlement,https://www.eff.org/cases/mgm-studios-inc-v-grokster-ltd
jeff_bezos,1,"FTC antitrust (filed Sep 2023, ongoing); National Enquirer blackmail confrontation (2019)",https://www.ftc.gov/legal-library/browse/cases-proceedings/amazon-com-inc-ftc-v
jeff_greene,1,Property development approval lawsuits in Palm Beach,https://www.palmbeachpost.com/story/news/2015/06/16/jeff-greene-challenges-palm-beach/7290770007/
jeff_yass,1,TikTok ban legislative battle (personal financial interest); IRS scrutiny of SIG trading practices,https://www.nytimes.com/2024/03/13/us/politics/jeff-yass-tiktok-ban.html
jeffrey_gundlach,1,Fired from TCW 2009; TCW sued for breach of fiduciary duty; jury ruled largely in Gundlach's favor ($66.7M award) 2011,https://www.reuters.com/article/us-tcw-gundlach/tcw-wins-minor-victory-in-gundlach-lawsuit-idUSBRE88F1BZ20120916
jeffrey_hildebrand,1,Hilcorp highest greenhouse gas emissions of any US oil/gas company; multiple EPA/state fines,https://www.epa.gov/enforcement/case-summary-hilcorp-energy-company-clean-air-act-settlement
jeffrey_lorberbaum,1,Mohawk Industries RICO and securities fraud lawsuits,https://www.reuters.com/article/us-mohawk-industries-settlement/mohawk-industries-to-pay-60-million-to-settle-shareholder-lawsuit-idUSKBN0TN2LW20151204
jensen_huang,1,Nvidia $40B Arm acquisition blocked by FTC; terminated Feb 2022,https://www.ftc.gov/news-events/news/press-releases/2021/12/ftc-sues-block-40-billion-semiconductor-chip-merger
jerry_jones,1,"Paternity lawsuit (2022, Alexandra Davis); $250K NFL fine (2025)",https://www.espn.com/nfl/story/_/id/33514214/woman-suing-jerry-jones-says-paternity-not-end-her-claim
jerry_moyes,1,Phoenix Coyotes bankruptcy filing May 2009,https://www.nytimes.com/2009/05/06/sports/hockey/06coyotes.html
jerry_speyer,1,Stuyvesant Town-Peter Cooper Village $5.4B default and tenant litigation,https://www.nytimes.com/2010/01/25/nyregion/25stuy.html
jim_crane,1,Houston Astros sign-stealing scandal,https://www.mlb.com/news/astros-sign-stealing-penalty
jimmy_haslam,1,Pilot Flying J fraud scandal ($92M federal penalty; employees convicted; Haslam not personally charged),https://www.justice.gov/usao-edtn/pr/pilot-flying-j-agrees-pay-92-million-penalty
joe_lonsdale,1,"Stanford University sexual assault allegation (2015, case dropped)",https://www.nytimes.com/2015/02/03/technology/joe-lonsdale-stanford-sexual-assault-allegations.html
john_doerr,1,"Ellen Pao gender discrimination lawsuit against Kleiner Perkins (2015, Kleiner prevailed)",https://www.nytimes.com/2015/03/28/technology/ellen-pao-kleiner-perkins-case-goes-to-jury.html
john_fisher,1,Oakland A's relocation lawsuits (company-level),https://www.espn.com/mlb/story/_/id/36589327/oakland-athletics-las-vegas-relocation
john_malone,1,Various antitrust and regulatory disputes related to cable industry consolidation,https://www.ftc.gov/enforcement/cases-proceedings/john-malone-liberty-media
john_menard_jr,1,Serial EPA violations (fined $1.7M 1997 for illegal hazardous waste disposal); additional violations; labor disputes,https://www.epa.gov/enforcement/case-summary-menard-inc
john_middleton,1,Sister sued claiming cheated out of inheritance; settled for reported $22M,https://www.phillymag.com/news/2017/10/14/john-middleton-phillies-owner-sister-lawsuit/
john_overdeck,1,Two Sigma sued former employees over trade secrets; SEC fined Two Sigma $90M (2025),https://www.sec.gov/newsroom/press-releases/2025-two-sigma
john_paul_dejoria,1,ROKiT-related lawsuits and sports sponsorship disputes,https://www.motorsport.com/f1/news/williams-rokit-sponsor-title-deal/4783429/
john_paulson,1,Divorce ongoing; settlement amount undisclosed,https://www.bloomberg.com/news/articles/2022-08-15/john-paulson-separates-from-wife-jenny-paulson
john_pritzker,1,Pritzker family trust litigation (1990s-2000s),https://www.chicagotribune.com/2005/06/12/inside-the-pritzker-family-feud/
joseph_grendys,1,ICE raid 2019; 243 workers arrested,https://www.reuters.com/article/us-usa-immigration-ohio/ice-arrests-146-workers-in-ohio-meat-plant-raid-idUSKCN1T62PL
joshua_harris,1,Apollo faced scrutiny over Leon Black's ties to Jeffrey Epstein,https://www.nytimes.com/2021/01/25/business/leon-black-apollo-jeffrey-epstein.html
julia_koch,1,"Koch family litigation (Bill Koch sued Charles and David, 1980s-2001)",https://law.justia.com/cases/federal/district-courts/FSupp/969/1460/1808056/
kelcy_warren,1,Dakota Access Pipeline lawsuits; Regency Energy Partners litigation,https://www.reuters.com/article/us-usa-pipeline-dakota-access/dakota-access-pipeline-shut-down-by-u-s-judge-idUSKBN2472B3
ken_fisher,1,2019 sexist remarks at conference; lost $3B+ in institutional AUM,https://www.cnbc.com/2019/10/11/ken-fisher-made-inappropriate-comments-at-a-tiburon-conference.html
ken_griffin,1,Congressional testimony re GameStop (2021); cease-and-desist letters to critics,https://financialservices.house.gov/calendar/eventsingle.aspx?EventID=407107
